#TYPE System.Management.Automation.PSCustomObject
"Count","Computer"
"0","MP138-18WL52622"
"0","MP138-19WL52628"
"0","MP138-20WL52490"
"0","MP138-21WL54881"
"0","MP138-23WL52496"
"0","MP138-24WL52612"
"0","MP138-25WL52617"
"0","MP138-26WL54879"
"0","MP138-27WL52624"
"0","MP138-28WL52492"
"0","MP138-29WL52495"
"0","MP138-31WL54882"
"0","MP139-01WC52499"
"0","MP141-01WC52625"
"0","MP142-01WC54913"
"0","MP143-01WC52497"
"0","MP144-01WC54910"
"0","MP145-01WC54911"
"0","MP146-01WC54912"
"0","MPCC-WL52796"
"0","MU54252"
"0","MU54545"
"0","MU55376"
"0","MU55378"
"0","PZ115-01WC56397"
"0","PZ204-01WC56285"
"0","PZ206-01WC56290"
"0","PZ207-02WL56323"
"0","PZ207-03WL56315"
"0","PZ207-04WL56306"
"0","PZ207-05WL56321"
"0","PZ207-06WL55996"
"0","PZ207-07WL56307"
"0","PZ207-08WL56314"
"20","PZ207-09WL56324"
"0","PZ207-10WL56331"
"0","PZ207-11WL56318"
"0","PZ207-12WL56326"
"0","PZ207-13WL56286"
"0","PZ207-14WL56313"
"0","PZ207-15WL56328"
"0","PZ207-16WL56319"
"0","PZ207-17WL56311"
"0","PZ207-18WL56291"
"0","PZ207-19WL56332"
"0","PZ207-20WL56309"
"0","PZ207-21WL56288"
"0","PZ207-22WL56425"
"0","PZ207-23WL56329"
"0","PZ207-24WL56334"
"0","PZ207-25WL56289"
"0","PZ207-26WL56320"
"0","PZ207-27WL56316"
"0","PZ207-28WL56310"
"0","PZ207-29WL56287"
"0","PZ207-30WL56417"
"0","PZ207-31WL56430"
"0","PZ207-32WL56312"
"0","PZ207-33WL56322"
"0","PZ213-01WC56232"
"0","PZ214-01WC56398"
"0","RH107-01WC52803"
"0","RH115-01WC52804"
"0","RH116-01WC52801"
"0","RH208-08WL56198"
"0","RH208-09WL56199"
"0","RH305-01WC52800"
"0","RH307-01WC52806"
"0","SC1FL-01WL57132"
"0","SC1FL-03WL57125"
"0","SC1FL-05WL57139"
"0","SC309-01WW50504"
"0","SC309-03WW51564"
"0","SC313-02WS50522"
"0","SC314-01WS50511"
"0","SC315-01WL50581"
"0","SC317-01WL50513"
"0","SC317-02WL50510"
"0","SC317-03WL50516"
"0","SC317-04WL50507"
"0","SC318-01WL50456"
"0","SC318-02WL50460"
"0","SC320-02WL51399"
"0","SC325-01WL50509"
"0","SC326-01WL50506"
"0","SC329-01WW50290"
"0","SC331-02WL50518"
"0","SC335-01WW54459"
"0","SC335-02WW54460"
"0","SCANB-01WL55995"
"0","SCVS-01WL53185"
"0","SCVS-02WL53184"
"0","SCVS-03WL56533"
"0","STCTR-01WL53665"
"0","STCTR-02WL53643"
"0","STCTR-04WL53635"
"0","STCTR-05WL53642"
"0","STCTR-07WL53638"
"0","STCTR-09WL53640"
"0","STCTR-10WL51752"
"0","VSLNG-01WL51973"
"0","VSLNG-02WL51972"
"0","VSLNG-03WL51971"
"0","VSLNG-04WL51749"
"0","WA010-01WC52433"
"0","WA017-01WW50869"
"0","WA100-01WW50849"
"0","WA100-03WW51394"
"0","WA100-04WW51282"
"0","WA400-01WW55373"
"0","WA508-01WW51612"
"0","WC01-01WL51978"
"0","WC04-01WL51980"
"0","WC05-01WL51981"
"0","WC06-01WL51982"
"0","WC07-01WL51983"
"0","WC07-02WL51984"
"0","WC09-03WL50930"
"0","WC09-04WL50932"
"0","WC10-01WL51740"
"0","WC11-01WL51975"
"0","WC13-01WL51977"
"0","WH104-01WC52462"
"0","WH106-01WC52461"
"0","WH309-01WC52458"
"0","WH310-01WC52459"
"0","WH311-01WC52431"
"0","WRH1-01WC52430"
"0","WRH2-01WC52427"
"0","WT201-01WL53446"
"0","WT220-01WW50871"
